order_id,order_date,customer_id,product_id,product_name,category,unit_price,quantity,discount,sales,cogs,profit,region
O200054,2024-05-28,C100132,P2018,Technology Item 18,Technology,362.51,2,0.1,652.52,285.66,366.86,South
O200055,2024-05-27,C100465,P4018,Consumables Item 18,Consumables,772.22,3,0.0,2316.66,1168.25,1148.41,East
O200056,2024-07-04,C100456,P1014,Office Supplies Item 14,Office Supplies,962.37,2,0.0,1924.74,1283.62,641.12,South
O200057,2025-09-08,C100302,P3017,Furniture Item 17,Furniture,715.82,4,0.0,2863.28,1228.83,1634.45,South
O200058,2025-02-14,C100955,P3019,Furniture Item 19,Furniture,1035.24,3,0.0,3105.72,1717.25,1388.47,East
O200059,2023-12-28,C100930,P1008,Office Supplies Item 8,Office Supplies,1378.19,3,0.0,4134.57,2504.52,1630.05,South
O200060,2024-11-27,C100267,P4012,Consumables Item 12,Consumables,605.54,4,0.0,2422.16,1902.03,520.13,East
O200061,2024-12-02,C100799,P1019,Office Supplies Item 19,Office Supplies,414.61,2,0.0,829.22,611.57,217.65,West
O200062,2023-12-29,C100395,P2012,Technology Item 12,Technology,3897.09,3,0.0,11691.27,8963.06,2728.21,West
O200063,2024-01-03,C100120,P5015,Accessories Item 15,Accessories,191.35,3,0.15,487.94,355.22,132.72,South
O200064,2023-05-23,C100246,P2009,Technology Item 9,Technology,2991.89,3,0.2,7180.54,4564.28,2616.26,West
O200065,2023-05-15,C100568,P3001,Furniture Item 1,Furniture,388.34,1,0.0,388.34,289.05,99.29,West
O200066,2024-10-28,C100038,P4015,Consumables Item 15,Consumables,978.0,2,0.05,1858.2,1163.42,694.78,Central
O200067,2023-08-12,C100245,P3005,Furniture Item 5,Furniture,764.38,3,0.1,2063.83,1120.86,942.97,West
O200068,2023-05-15,C100021,P1013,Office Supplies Item 13,Office Supplies,945.16,2,0.05,1795.8,985.78,810.02,West
O200069,2023-09-03,C100110,P2007,Technology Item 7,Technology,1312.26,3,0.0,3936.78,2465.15,1471.63,South
O200070,2022-11-14,C100606,P1019,Office Supplies Item 19,Office Supplies,414.61,2,0.0,829.22,600.17,229.05,East
O200071,2025-10-16,C100394,P2006,Technology Item 6,Technology,1048.28,2,0.0,2096.56,950.71,1145.85,West
O200072,2024-10-23,C100410,P3013,Furniture Item 13,Furniture,1077.46,3,0.0,3232.38,1343.72,1888.66,East
O200073,2024-12-19,C100987,P3011,Furniture Item 11,Furniture,542.78,1,0.0,542.78,388.54,154.24,South
O200074,2024-04-12,C100648,P2017,Technology Item 17,Technology,3583.54,3,0.05,10213.09,6730.8,3482.29,East
O200075,2025-01-06,C100743,P1009,Office Supplies Item 9,Office Supplies,75.25,5,0.0,376.25,274.11,102.14,East
O200076,2023-10-10,C100008,P5012,Accessories Item 12,Accessories,531.07,1,0.0,531.07,419.9,111.17,South
O200077,2023-05-28,C100444,P5016,Accessories Item 16,Accessories,1442.31,2,0.0,2884.62,1443.92,1440.7,West
O200078,2024-08-02,C100328,P3012,Furniture Item 12,Furniture,806.55,2,0.0,1613.1,770.6,842.5,Central
O200079,2023-07-10,C100887,P3014,Furniture Item 14,Furniture,668.13,3,0.1,1803.95,967.62,836.33,South
O200080,2023-07-29,C100290,P1003,Office Supplies Item 3,Office Supplies,468.91,2,0.05,890.93,669.25,221.68,West
O200081,2025-05-08,C100763,P5016,Accessories Item 16,Accessories,1442.31,2,0.1,2596.16,1052.96,1543.2,East
O200082,2023-12-24,C100511,P4009,Consumables Item 9,Consumables,98.0,2,0.0,196.0,79.23,116.77,East
O200083,2025-01-03,C100912,P1008,Office Supplies Item 8,Office Supplies,1378.19,2,0.0,2756.38,1341.57,1414.81,Central
O200084,2024-10-25,C100361,P1014,Office Supplies Item 14,Office Supplies,962.37,5,0.05,4571.26,2515.87,2055.39,East
O200085,2024-01-07,C100909,P1003,Office Supplies Item 3,Office Supplies,468.91,2,0.0,937.82,488.55,449.27,Central
O200086,2023-02-17,C100599,P2004,Technology Item 4,Technology,1323.25,3,0.0,3969.75,2897.79,1071.96,West
O200087,2024-08-02,C100716,P1013,Office Supplies Item 13,Office Supplies,945.16,3,0.0,2835.48,1916.47,919.01,West
O200088,2025-10-06,C100219,P3003,Furniture Item 3,Furniture,200.93,2,0.2,321.49,236.34,85.15,East
O200089,2023-11-14,C100406,P2009,Technology Item 9,Technology,2991.89,3,0.15,7629.32,4222.86,3406.46,West
O200090,2025-06-15,C100992,P4012,Consumables Item 12,Consumables,605.54,2,0.0,1211.08,773.06,438.02,East
O200091,2023-02-11,C100753,P3011,Furniture Item 11,Furniture,542.78,4,0.0,2171.12,1316.09,855.03,West
O200092,2025-04-10,C100923,P3002,Furniture Item 2,Furniture,1401.3,4,0.05,5324.94,3141.13,2183.81,Central
O200093,2025-03-03,C100832,P2011,Technology Item 11,Technology,4293.44,3,0.0,12880.32,6636.47,6243.85,East
O200094,2025-09-16,C100770,P4003,Consumables Item 3,Consumables,171.17,2,0.0,342.34,234.05,108.29,South
O200095,2024-04-13,C100621,P2006,Technology Item 6,Technology,1048.28,4,0.0,4193.12,2556.18,1636.94,West
O200096,2024-09-09,C100768,P1018,Office Supplies Item 18,Office Supplies,982.11,7,0.0,6874.77,2966.06,3908.71,East
O200097,2025-07-16,C100993,P5002,Accessories Item 2,Accessories,19.27,3,0.0,57.81,23.14,34.67,South
O200098,2024-01-02,C100794,P3017,Furniture Item 17,Furniture,715.82,2,0.0,1431.64,584.29,847.35,West
O200099,2025-01-30,C100220,P1007,Office Supplies Item 7,Office Supplies,1432.06,4,0.2,4582.59,1972.26,2610.33,Central
O200100,2025-05-20,C100595,P3008,Furniture Item 8,Furniture,774.16,3,0.0,2322.48,1273.61,1048.87,East
O200101,2025-09-27,C100107,P4020,Consumables Item 20,Consumables,1460.03,2,0.0,2920.06,1525.05,1395.01,West
O200102,2024-03-25,C100581,P3020,Furniture Item 20,Furniture,1296.14,3,0.0,3888.42,1799.0,2089.42,Central
O200103,2023-11-28,C100609,P2013,Technology Item 13,Technology,2603.81,2,0.0,5207.62,3156.75,2050.87,East
O200104,2024-10-13,C100724,P1003,Office Supplies Item 3,Office Supplies,468.91,3,0.15,1195.72,942.31,253.41,Central
O200105,2024-03-08,C100286,P1004,Office Supplies Item 4,Office Supplies,601.69,4,0.0,2406.76,1117.41,1289.35,Central
O200106,2024-04-30,C100749,P5020,Accessories Item 20,Accessories,75.35,2,0.2,120.56,60.31,60.25,East
O200107,2024-06-16,C100008,P1004,Office Supplies Item 4,Office Supplies,601.69,2,0.0,1203.38,703.79,499.59,South
O200108,2023-11-24,C100806,P3002,Furniture Item 2,Furniture,1401.3,6,0.1,7567.02,4966.51,2600.51,East
O200109,2023-04-07,C100189,P1009,Office Supplies Item 9,Office Supplies,75.25,2,0.05,142.98,91.52,51.46,East
O200110,2025-08-24,C100081,P3011,Furniture Item 11,Furniture,542.78,2,0.15,922.73,561.46,361.27,South
O200111,2023-04-16,C100108,P1017,Office Supplies Item 17,Office Supplies,816.15,2,0.05,1550.68,1077.58,473.1,East
O200112,2025-06-17,C100321,P1017,Office Supplies Item 17,Office Supplies,816.15,1,0.0,816.15,602.63,213.52,South
O200113,2023-12-14,C100579,P5017,Accessories Item 17,Accessories,955.69,3,0.05,2723.72,2177.85,545.87,Central
O200114,2023-05-13,C100686,P1020,Office Supplies Item 20,Office Supplies,891.62,6,0.1,4814.75,2822.43,1992.32,Central
O200115,2023-06-23,C100346,P1014,Office Supplies Item 14,Office Supplies,962.37,2,0.15,1636.03,1305.52,330.51,Central
O200116,2024-10-18,C100863,P2002,Technology Item 2,Technology,613.05,3,0.0,1839.15,1273.06,566.09,East
O200117,2025-01-24,C100328,P3012,Furniture Item 12,Furniture,806.55,5,0.0,4032.75,2673.46,1359.29,Central
O200118,2023-12-09,C100555,P2007,Technology Item 7,Technology,1312.26,4,0.0,5249.04,3442.7,1806.34,South
O200119,2025-04-11,C100699,P3003,Furniture Item 3,Furniture,200.93,3,0.0,602.79,460.71,142.08,East
O200120,2024-09-08,C100302,P1003,Office Supplies Item 3,Office Supplies,468.91,1,0.1,422.02,328.83,93.19,West
O200121,2023-01-07,C100200,P5008,Accessories Item 8,Accessories,497.2,4,0.0,1988.8,937.52,1051.28,West
O200122,2023-01-27,C100893,P5014,Accessories Item 14,Accessories,784.72,4,0.0,3138.88,1875.07,1263.81,East
O200123,2023-06-05,C100419,P1008,Office Supplies Item 8,Office Supplies,1378.19,1,0.05,1309.28,1016.76,292.52,Central
O200124,2022-11-01,C100039,P5006,Accessories Item 6,Accessories,15.68,2,0.1,28.22,15.6,12.62,Central
O200125,2023-03-20,C100732,P5009,Accessories Item 9,Accessories,83.46,3,0.0,250.38,123.46,126.92,East
O200126,2024-07-10,C100307,P1010,Office Supplies Item 10,Office Supplies,511.53,7,0.0,3580.71,1579.31,2001.4,Central
O200127,2023-03-13,C100004,P2009,Technology Item 9,Technology,2991.89,3,0.2,7180.54,4587.55,2592.99,West
O200128,2023-04-27,C100633,P2020,Technology Item 20,Technology,2640.06,2,0.0,5280.12,3591.06,1689.06,East
O200129,2025-01-18,C100848,P4005,Consumables Item 5,Consumables,1091.68,4,0.1,3930.05,1879.43,2050.62,South
O200130,2023-11-15,C100077,P2001,Technology Item 1,Technology,2209.18,2,0.0,4418.36,2957.89,1460.47,East
O200131,2025-04-26,C100468,P2004,Technology Item 4,Technology,1323.25,6,0.0,7939.5,6032.81,1906.69,West
O200132,2024-08-19,C100179,P4013,Consumables Item 13,Consumables,756.61,2,0.15,1286.24,639.82,646.42,West
O200133,2024-01-24,C100645,P3020,Furniture Item 20,Furniture,1296.14,4,0.1,4666.1,2094.15,2571.95,Central
O200134,2024-06-08,C100823,P2006,Technology Item 6,Technology,1048.28,3,0.0,3144.84,2308.85,835.99,East
O200135,2024-02-06,C100741,P1009,Office Supplies Item 9,Office Supplies,75.25,3,0.05,214.46,164.4,50.06,South
O200136,2025-07-17,C100276,P1020,Office Supplies Item 20,Office Supplies,891.62,4,0.0,3566.48,1733.11,1833.37,South
O200137,2023-03-02,C100152,P3016,Furniture Item 16,Furniture,445.94,3,0.0,1337.82,921.16,416.66,West
O200138,2022-11-17,C100164,P5019,Accessories Item 19,Accessories,123.42,2,0.05,234.5,149.23,85.27,East
O200139,2023-09-23,C100290,P2016,Technology Item 16,Technology,1535.17,3,0.1,4144.96,2054.57,2090.39,South
O200140,2023-09-14,C100378,P2016,Technology Item 16,Technology,1535.17,1,0.15,1304.89,951.87,353.02,South
O200141,2025-01-17,C100621,P4013,Consumables Item 13,Consumables,756.61,3,0.0,2269.83,1335.06,934.77,Central
O200142,2024-03-17,C100638,P2002,Technology Item 2,Technology,613.05,4,0.05,2329.59,1584.43,745.16,West
O200143,2023-02-27,C100752,P1001,Office Supplies Item 1,Office Supplies,53.51,2,0.0,107.02,55.71,51.31,East
O200144,2024-10-10,C100310,P4009,Consumables Item 9,Consumables,98.0,1,0.0,98.0,71.18,26.82,East
O200145,2022-12-15,C100930,P4013,Consumables Item 13,Consumables,756.61,3,0.0,2269.83,1147.89,1121.94,East
O200146,2023-09-10,C100979,P2017,Technology Item 17,Technology,3583.54,3,0.15,9138.03,4988.59,4149.44,East
O200147,2023-12-23,C100913,P5003,Accessories Item 3,Accessories,117.58,3,0.0,352.74,196.33,156.41,South
O200148,2024-05-09,C100389,P4012,Consumables Item 12,Consumables,605.54,2,0.0,1211.08,584.43,626.65,Central
O200149,2023-09-22,C100857,P5016,Accessories Item 16,Accessories,1442.31,1,0.05,1370.19,1027.3,342.89,East
O200150,2024-03-29,C100658,P1013,Office Supplies Item 13,Office Supplies,945.16,4,0.0,3780.64,1683.88,2096.76,West
O200151,2023-06-02,C100764,P5004,Accessories Item 4,Accessories,566.9,2,0.15,963.73,602.57,361.16,East
O200152,2023-01-13,C100183,P5020,Accessories Item 20,Accessories,75.35,1,0.0,75.35,54.68,20.67,Central
O200153,2024-03-23,C100821,P3003,Furniture Item 3,Furniture,200.93,3,0.1,542.51,343.06,199.45,West
O200154,2023-09-28,C100306,P2017,Technology Item 17,Technology,3583.54,4,0.0,14334.16,7607.98,6726.18,East
O200155,2024-09-18,C100072,P5014,Accessories Item 14,Accessories,784.72,2,0.0,1569.44,1118.29,451.15,East
O200156,2024-08-18,C100219,P4014,Consumables Item 14,Consumables,1259.98,6,0.1,6803.89,4080.1,2723.79,Central
O200157,2025-08-24,C100719,P5015,Accessories Item 15,Accessories,191.35,2,0.05,363.56,169.13,194.43,West
O200158,2024-06-22,C100173,P2005,Technology Item 5,Technology,4160.53,1,0.0,4160.53,2191.54,1968.99,West
O200159,2025-10-11,C100653,P5013,Accessories Item 13,Accessories,1059.89,4,0.0,4239.56,2699.65,1539.91,South
O200160,2023-09-21,C100272,P5008,Accessories Item 8,Accessories,497.2,1,0.0,497.2,329.9,167.3,Central
O200161,2025-07-19,C100726,P2001,Technology Item 1,Technology,2209.18,3,0.0,6627.54,4104.12,2523.42,West
O200162,2024-10-17,C100468,P3001,Furniture Item 1,Furniture,388.34,1,0.0,388.34,197.59,190.75,South
O200163,2024-10-23,C100269,P4013,Consumables Item 13,Consumables,756.61,5,0.0,3783.05,2411.7,1371.35,East
O200164,2023-08-04,C100020,P3002,Furniture Item 2,Furniture,1401.3,2,0.0,2802.6,1493.73,1308.87,East
O200165,2024-04-19,C100578,P3002,Furniture Item 2,Furniture,1401.3,4,0.0,5605.2,2746.37,2858.83,South
O200166,2023-04-01,C100995,P1002,Office Supplies Item 2,Office Supplies,357.2,1,0.0,357.2,277.98,79.22,South
O200167,2025-06-12,C100815,P4008,Consumables Item 8,Consumables,241.88,2,0.0,483.76,254.43,229.33,East
O200168,2023-07-17,C100503,P1008,Office Supplies Item 8,Office Supplies,1378.19,3,0.05,3927.84,2098.44,1829.4,South
O200169,2023-09-20,C100147,P5016,Accessories Item 16,Accessories,1442.31,3,0.05,4110.58,3118.74,991.84,East
O200170,2025-08-13,C100429,P4001,Consumables Item 1,Consumables,1495.23,3,0.0,4485.69,2050.31,2435.38,South
O200171,2025-03-18,C100165,P1014,Office Supplies Item 14,Office Supplies,962.37,1,0.0,962.37,609.99,352.38,East
O200172,2024-09-18,C100890,P4017,Consumables Item 17,Consumables,267.63,2,0.0,535.26,381.9,153.36,East
O200173,2023-09-06,C100310,P2001,Technology Item 1,Technology,2209.18,5,0.0,11045.9,5627.51,5418.39,West
O200174,2025-01-11,C100518,P2004,Technology Item 4,Technology,1323.25,2,0.0,2646.5,1952.14,694.36,South
O200175,2025-10-15,C100014,P3010,Furniture Item 10,Furniture,702.98,3,0.0,2108.94,1492.83,616.11,Central
O200176,2024-07-12,C100132,P5002,Accessories Item 2,Accessories,19.27,6,0.2,92.5,54.99,37.51,South
O200177,2024-02-16,C100854,P3005,Furniture Item 5,Furniture,764.38,3,0.0,2293.14,1026.15,1266.99,West
O200178,2024-02-04,C100755,P4004,Consumables Item 4,Consumables,50.47,6,0.05,287.68,226.7,60.98,West
O200179,2025-01-22,C100439,P4004,Consumables Item 4,Consumables,50.47,5,0.0,252.35,163.95,88.4,East
O200180,2025-02-23,C100743,P2006,Technology Item 6,Technology,1048.28,4,0.0,4193.12,2544.55,1648.57,East
O200181,2024-08-28,C100740,P2012,Technology Item 12,Technology,3897.09,3,0.0,11691.27,8817.32,2873.95,West
O200182,2023-07-20,C100674,P3017,Furniture Item 17,Furniture,715.82,2,0.0,1431.64,813.95,617.69,Central
O200183,2023-10-21,C100795,P3013,Furniture Item 13,Furniture,1077.46,2,0.0,2154.92,1347.81,807.11,South
O200184,2024-12-09,C100263,P2013,Technology Item 13,Technology,2603.81,4,0.05,9894.48,7355.21,2539.27,East
O200185,2023-04-29,C100643,P3012,Furniture Item 12,Furniture,806.55,4,0.05,3064.89,1707.72,1357.17,Central
O200186,2023-01-05,C100943,P5015,Accessories Item 15,Accessories,191.35,2,0.0,382.7,271.32,111.38,South
O200187,2025-01-28,C100225,P1018,Office Supplies Item 18,Office Supplies,982.11,5,0.05,4665.02,2343.96,2321.06,West
O200188,2023-04-20,C100258,P2015,Technology Item 15,Technology,89.72,3,0.0,269.16,183.28,85.88,Central
O200189,2024-02-17,C100234,P1012,Office Supplies Item 12,Office Supplies,362.33,6,0.0,2173.98,1313.46,860.52,West
O200190,2024-04-17,C100336,P3011,Furniture Item 11,Furniture,542.78,7,0.05,3609.49,1681.89,1927.6,South
O200191,2024-01-13,C100409,P5009,Accessories Item 9,Accessories,83.46,2,0.05,158.57,72.05,86.52,East
O200192,2025-02-12,C100828,P5015,Accessories Item 15,Accessories,191.35,3,0.0,574.05,334.71,239.34,West
O200193,2023-06-15,C100975,P1010,Office Supplies Item 10,Office Supplies,511.53,2,0.0,1023.06,700.12,322.94,East
O200194,2024-01-16,C100024,P3012,Furniture Item 12,Furniture,806.55,3,0.0,2419.65,1551.77,867.88,South
O200195,2023-12-01,C100271,P2014,Technology Item 14,Technology,3038.06,3,0.0,9114.18,6761.72,2352.46,East
O200196,2024-10-28,C100095,P4007,Consumables Item 7,Consumables,334.97,1,0.2,267.98,148.96,119.02,West
O200197,2023-01-23,C100142,P2019,Technology Item 19,Technology,1281.18,3,0.0,3843.54,2834.44,1009.1,Central
O200198,2025-09-02,C100694,P1008,Office Supplies Item 8,Office Supplies,1378.19,1,0.15,1171.46,485.93,685.53,West
O200199,2024-09-23,C100718,P5016,Accessories Item 16,Accessories,1442.31,6,0.15,7355.78,4018.62,3337.16,West
O200200,2024-03-07,C100902,P2009,Technology Item 9,Technology,2991.89,3,0.0,8975.67,3852.3,5123.37,East
O200201,2025-06-27,C100974,P2002,Technology Item 2,Technology,613.05,1,0.0,613.05,470.64,142.41,East
O200202,2023-10-19,C100081,P5004,Accessories Item 4,Accessories,566.9,2,0.1,1020.42,602.18,418.24,South
O200203,2025-10-16,C100274,P4010,Consumables Item 10,Consumables,1234.94,4,0.0,4939.76,2600.6,2339.16,Central
O200204,2022-12-10,C100276,P4001,Consumables Item 1,Consumables,1495.23,4,0.0,5980.92,3570.58,2410.34,South
O200205,2024-08-01,C100883,P3003,Furniture Item 3,Furniture,200.93,3,0.0,602.79,369.59,233.2,West
O200206,2023-04-22,C100958,P3009,Furniture Item 9,Furniture,1285.97,4,0.0,5143.88,3798.72,1345.16,East
O200207,2023-07-17,C100465,P2009,Technology Item 9,Technology,2991.89,4,0.0,11967.56,7383.64,4583.92,East
O200208,2024-03-31,C100208,P5001,Accessories Item 1,Accessories,306.1,2,0.0,612.2,350.52,261.68,East
O200209,2024-10-30,C100296,P2011,Technology Item 11,Technology,4293.44,1,0.05,4078.77,3199.97,878.8,Central
O200210,2024-04-06,C100039,P3013,Furniture Item 13,Furniture,1077.46,3,0.2,2585.9,2036.2,549.7,Central
O200211,2025-02-16,C100948,P2014,Technology Item 14,Technology,3038.06,4,0.0,12152.24,5047.64,7104.6,West
O200212,2023-02-25,C100288,P2018,Technology Item 18,Technology,362.51,1,0.0,362.51,247.5,115.01,South
O200213,2023-05-03,C100124,P3017,Furniture Item 17,Furniture,715.82,4,0.0,2863.28,1571.09,1292.19,West
O200214,2023-04-11,C100876,P1004,Office Supplies Item 4,Office Supplies,601.69,2,0.0,1203.38,806.36,397.02,South
O200215,2024-04-26,C100969,P1002,Office Supplies Item 2,Office Supplies,357.2,3,0.05,1018.02,666.57,351.45,East
O200216,2025-02-16,C100283,P1012,Office Supplies Item 12,Office Supplies,362.33,1,0.05,344.21,183.13,161.08,South
O200217,2025-10-25,C100878,P2015,Technology Item 15,Technology,89.72,3,0.0,269.16,213.89,55.27,South
O200218,2025-10-29,C100180,P4010,Consumables Item 10,Consumables,1234.94,4,0.1,4445.78,2413.36,2032.42,West
O200219,2024-01-21,C100097,P4012,Consumables Item 12,Consumables,605.54,3,0.05,1725.79,1126.58,599.21,Central
O200220,2023-12-21,C100191,P2001,Technology Item 1,Technology,2209.18,1,0.0,2209.18,1602.44,606.74,South
O200221,2024-04-15,C100074,P4001,Consumables Item 1,Consumables,1495.23,2,0.05,2840.94,1301.68,1539.26,West
O200222,2024-01-15,C100447,P2015,Technology Item 15,Technology,89.72,3,0.0,269.16,140.02,129.14,East
O200223,2024-11-07,C100785,P3008,Furniture Item 8,Furniture,774.16,1,0.05,735.45,352.71,382.74,South
O200224,2024-02-07,C100497,P1015,Office Supplies Item 15,Office Supplies,1276.5,4,0.0,5106.0,3639.19,1466.81,West
O200225,2023-12-01,C100561,P4011,Consumables Item 11,Consumables,470.52,1,0.0,470.52,339.0,131.52,West
O200226,2024-10-11,C100484,P1015,Office Supplies Item 15,Office Supplies,1276.5,2,0.1,2297.7,1154.31,1143.39,East
O200227,2023-11-30,C100849,P1006,Office Supplies Item 6,Office Supplies,309.21,4,0.0,1236.84,496.78,740.06,East
O200228,2023-09-22,C100722,P5001,Accessories Item 1,Accessories,306.1,3,0.05,872.38,496.68,375.7,Central
O200229,2024-11-19,C100116,P4008,Consumables Item 8,Consumables,241.88,2,0.0,483.76,326.47,157.29,West
O200230,2025-10-29,C100535,P2002,Technology Item 2,Technology,613.05,2,0.05,1164.79,755.95,408.84,South
O200231,2024-08-03,C100098,P2012,Technology Item 12,Technology,3897.09,1,0.0,3897.09,2253.61,1643.48,Central
O200232,2023-06-02,C100328,P2002,Technology Item 2,Technology,613.05,4,0.1,2206.98,1149.34,1057.64,South
