ticket_id,created_at,resolved_at,priority,status,assigned_agent,resolution_hours,sla_met,category
T300105,2023-07-22,2023-07-22 20:20:39.748095121,Critical,Resolved,Agent_12,20.34,0,Technical
T300106,2024-12-06,2024-12-06 10:10:44.406084683,High,Resolved,Agent_10,10.18,1,Technical
T300107,2023-12-12,2023-12-12 12:06:06.016567837,High,Resolved,Agent_8,12.1,1,Logistics
T300108,2024-08-07,2024-08-10 00:24:17.427032216,Low,Resolved,Agent_9,72.4,0,Billing
T300109,2024-07-28,2024-07-28 06:30:17.018946919,Critical,Resolved,Agent_14,6.5,0,HR
T300110,2023-01-03,2023-01-04 21:15:49.817709284,Medium,Closed,Agent_6,45.26,1,Technical
T300111,2025-06-26,2025-06-30 07:25:16.388022269,Low,Open,Agent_19,103.42,0,HR
T300112,2025-01-22,2025-01-22 11:51:24.921756383,High,Resolved,Agent_15,11.86,1,Technical
T300113,2025-03-21,2025-03-21 18:16:38.813351709,Medium,Resolved,Agent_20,18.28,1,Logistics
T300114,2022-12-08,2022-12-08 11:54:16.230689087,Medium,Resolved,Agent_20,11.9,1,HR
T300115,2024-11-29,2024-11-29 14:51:31.759224823,Medium,Resolved,Agent_7,14.86,1,Technical
T300116,2024-08-26,2024-08-26 05:05:09.000016881,High,Resolved,Agent_8,5.09,1,Logistics
T300117,2023-06-10,2023-06-10 06:40:54.226642563,High,Resolved,Agent_3,6.68,1,Logistics
T300118,2024-12-09,2024-12-13 14:23:06.062217151,Low,Closed,Agent_11,110.39,0,Technical
T300119,2024-02-16,2024-02-16 21:32:00.706992929,Critical,Resolved,Agent_4,21.53,0,Technical
T300120,2023-10-23,2023-10-23 05:23:03.262492410,High,Open,Agent_2,5.38,1,Technical
T300121,2024-06-01,2024-06-01 11:57:44.890876829,Low,Resolved,Agent_1,11.96,1,Technical
T300122,2023-06-23,2023-06-23 03:54:28.819553036,Low,Resolved,Agent_7,3.91,1,Technical
T300123,2024-06-24,2024-06-25 19:31:33.453382975,Medium,Closed,Agent_12,43.53,1,Billing
T300124,2023-02-02,2023-02-04 01:05:18.857836601,Medium,Resolved,Agent_8,49.09,0,Other
T300125,2025-03-10,2025-03-10 14:22:07.313588309,Medium,Resolved,Agent_13,14.37,1,Logistics
T300126,2025-02-16,2025-02-17 13:31:34.826465701,Low,Resolved,Agent_6,37.53,1,Technical
T300127,2023-05-08,2023-05-10 16:37:35.564479239,Low,Closed,Agent_7,64.63,1,Billing
T300128,2024-08-10,2024-08-10 02:49:41.565603702,Critical,Resolved,Agent_20,2.83,1,Logistics
T300129,2022-11-16,2022-11-16 02:42:00.344336827,High,Resolved,Agent_6,2.7,1,Billing
T300130,2023-10-30,2023-10-30 05:50:48.683637401,Low,Resolved,Agent_12,5.85,1,Logistics
T300131,2024-11-13,2024-11-13 06:26:12.029951787,Medium,Resolved,Agent_7,6.44,1,Billing
T300132,2023-12-15,2023-12-15 12:26:20.206435712,High,Closed,Agent_10,12.44,1,Logistics
T300133,2023-04-23,2023-04-23 20:30:24.955577635,Low,Closed,Agent_7,20.51,1,Technical
T300134,2023-05-05,2023-05-09 01:05:24.012635308,Low,Resolved,Agent_15,97.09,0,Logistics
T300135,2025-09-19,2025-09-19 02:11:55.615740071,Medium,Resolved,Agent_2,2.2,1,Billing
T300136,2024-02-13,2024-02-13 12:55:25.354581501,Medium,Resolved,Agent_8,12.92,1,Billing
T300137,2023-09-08,2023-09-08 14:15:23.098146710,Low,Resolved,Agent_17,14.26,1,Technical
T300138,2025-01-08,2025-01-08 13:07:09.552853535,Critical,Resolved,Agent_16,13.12,0,Technical
T300139,2024-04-18,2024-04-19 15:23:02.335397578,Medium,Resolved,Agent_13,39.38,1,Technical
T300140,2024-04-12,2024-04-16 03:42:40.649011006,Medium,Closed,Agent_18,99.71,0,Billing
T300141,2023-03-02,2023-03-02 06:05:46.877438821,Low,Resolved,Agent_4,6.1,1,Technical
T300142,2023-06-16,2023-06-17 12:35:06.290029861,Medium,Resolved,Agent_12,36.59,1,Logistics
T300143,2025-07-16,2025-07-16 03:13:42.229904977,Medium,Resolved,Agent_11,3.23,1,Technical
T300144,2024-05-06,2024-05-06 04:02:33.782032289,Medium,Resolved,Agent_2,4.04,1,Other
T300145,2022-11-15,2022-11-15 01:00:00.000000000,Medium,Resolved,Agent_20,1.0,1,Technical
T300146,2023-06-02,2023-06-02 14:59:55.044284064,Medium,Resolved,Agent_16,15.0,1,Technical
T300147,2024-06-25,2024-06-25 01:36:52.109946908,High,Resolved,Agent_13,1.61,1,Logistics
T300148,2022-12-22,2022-12-22 05:08:20.328418239,High,Resolved,Agent_4,5.14,1,Technical
T300149,2025-05-18,2025-05-18 03:52:43.933958070,High,Resolved,Agent_2,3.88,1,Logistics
T300150,2022-12-27,2023-01-03 11:44:26.289391660,Low,Resolved,Agent_18,179.74,0,Other
T300151,2023-12-13,2023-12-15 03:32:17.687835494,Low,Resolved,Agent_1,51.54,1,Technical
T300152,2024-04-15,2024-04-15 06:20:27.141771674,High,Resolved,Agent_6,6.34,1,Technical
T300153,2023-10-23,2023-10-27 05:09:29.137250576,Low,Closed,Agent_20,101.16,0,Logistics
T300154,2024-09-30,2024-09-30 03:10:00.272844198,Low,Resolved,Agent_20,3.17,1,Logistics
T300155,2025-09-22,2025-09-22 09:45:52.071862550,Medium,Resolved,Agent_19,9.76,1,Technical
T300156,2024-09-04,2024-09-04 08:40:23.538401401,High,Resolved,Agent_10,8.67,1,Billing
T300157,2025-03-23,2025-03-23 01:00:00.000000000,High,Resolved,Agent_9,1.0,1,Other
T300158,2024-03-31,2024-03-31 03:47:01.714939208,Medium,Resolved,Agent_17,3.78,1,Technical
T300159,2024-09-11,2024-09-11 13:31:31.753527369,Critical,Resolved,Agent_15,13.53,0,Technical
T300160,2024-10-27,2024-10-27 04:45:06.762041218,Medium,Resolved,Agent_2,4.75,1,Other
T300161,2023-02-25,2023-02-27 13:07:11.198944163,Medium,Resolved,Agent_17,61.12,0,HR
T300162,2024-12-06,2024-12-06 04:50:53.391572694,Low,Resolved,Agent_7,4.85,1,Technical
T300163,2023-07-27,2023-07-31 09:10:35.485759476,Low,Resolved,Agent_16,105.18,0,Technical
T300164,2024-10-18,2024-10-18 07:15:19.078006304,High,Resolved,Agent_17,7.26,1,Logistics
T300165,2024-10-21,2024-10-22 16:52:35.269125413,Low,Resolved,Agent_1,40.88,1,Technical
T300166,2023-03-20,2023-03-20 07:56:17.647426327,Medium,Resolved,Agent_16,7.94,1,Technical
T300167,2023-03-24,2023-03-24 01:54:56.797556812,Critical,Resolved,Agent_4,1.92,1,Other
T300168,2023-06-10,2023-06-11 08:31:18.317368124,Low,Resolved,Agent_16,32.52,1,Technical
T300169,2024-12-20,2024-12-20 21:06:30.076263549,Low,Closed,Agent_3,21.11,1,Logistics
T300170,2025-04-10,2025-04-10 01:56:28.097032504,Medium,Resolved,Agent_1,1.94,1,Logistics
T300171,2024-06-10,2024-06-10 20:57:01.247315088,Low,Resolved,Agent_17,20.95,1,Logistics
T300172,2024-07-22,2024-07-22 07:03:19.592012078,Medium,Resolved,Agent_5,7.06,1,Other
T300173,2024-01-09,2024-01-12 18:56:47.537428191,Low,Resolved,Agent_3,90.95,0,Technical
T300174,2025-10-26,2025-10-27 19:45:43.992060838,Medium,Closed,Agent_19,43.76,1,Logistics
T300175,2025-08-26,2025-08-26 07:19:19.715468094,Low,Resolved,Agent_11,7.32,1,Logistics
T300176,2025-10-14,2025-10-16 14:51:37.048383659,Low,Resolved,Agent_15,62.86,1,Other
T300177,2023-11-18,2023-11-19 04:46:09.981115136,Low,Resolved,Agent_2,28.77,1,Logistics
T300178,2024-01-08,2024-01-12 01:22:56.197742852,Low,Resolved,Agent_7,97.38,0,HR
T300179,2025-10-30,2025-10-30 07:41:04.428700242,Medium,Closed,Agent_18,7.68,1,Billing
T300180,2024-02-23,2024-02-23 04:25:39.634611860,Low,Closed,Agent_1,4.43,1,Billing
T300181,2022-11-22,2022-11-23 14:41:10.395027150,Medium,Resolved,Agent_8,38.69,1,Billing
T300182,2024-05-14,2024-05-18 01:19:41.640093454,Low,Resolved,Agent_16,97.33,0,Billing
T300183,2024-08-09,2024-08-10 20:03:31.494601324,Medium,Resolved,Agent_15,44.06,1,Billing
T300184,2024-07-04,2024-07-04 04:47:35.495492798,High,Closed,Agent_4,4.79,1,Billing
T300185,2024-02-11,2024-02-11 01:30:17.567068865,Low,Resolved,Agent_13,1.5,1,Other
T300186,2024-10-12,2024-10-12 03:36:32.480478648,Medium,Closed,Agent_12,3.61,1,Technical
T300187,2025-02-23,2025-02-25 12:25:44.010447637,Medium,Resolved,Agent_9,60.43,0,Technical
T300188,2023-03-01,2023-03-01 10:51:50.301911349,Medium,Resolved,Agent_13,10.86,1,HR
T300189,2024-11-08,2024-11-08 12:43:55.224140057,Critical,Closed,Agent_11,12.73,0,Billing
T300190,2024-11-20,2024-11-23 22:53:04.952422017,Medium,Closed,Agent_12,94.88,0,Technical
T300191,2024-12-28,2024-12-29 00:10:40.613380736,Low,Resolved,Agent_4,24.18,1,Billing
T300192,2025-04-13,2025-04-14 11:57:16.054916889,Medium,Resolved,Agent_3,35.95,1,Billing
T300193,2025-08-03,2025-08-03 04:26:46.742915052,Medium,Resolved,Agent_5,4.45,1,Other
T300194,2023-05-06,2023-05-06 23:14:12.580348179,Low,Resolved,Agent_6,23.24,1,HR
T300195,2024-04-01,2024-04-03 10:37:37.708030394,Low,Resolved,Agent_4,58.63,1,HR
T300196,2024-09-12,2024-09-12 05:34:10.955054235,Medium,Resolved,Agent_1,5.57,1,HR
T300197,2025-07-28,2025-07-28 04:37:27.656865599,High,Resolved,Agent_5,4.62,1,Billing
T300198,2024-08-01,2024-08-01 19:54:47.564421621,Medium,Resolved,Agent_2,19.91,1,Logistics
T300199,2024-10-30,2024-10-31 04:12:08.575417740,Medium,Resolved,Agent_14,28.2,1,Logistics
T300200,2024-08-14,2024-08-14 05:17:49.437817989,High,Resolved,Agent_11,5.3,1,Other
T300201,2024-01-07,2024-01-07 11:20:58.064990451,Medium,Resolved,Agent_9,11.35,1,Technical
T300202,2024-08-05,2024-08-05 02:47:35.728977000,Medium,Resolved,Agent_8,2.79,1,Technical
T300203,2024-12-02,2024-12-04 01:40:07.099744780,High,Resolved,Agent_7,49.67,0,Technical
T300204,2025-04-08,2025-04-09 21:28:23.584484038,Low,Resolved,Agent_15,45.47,1,Technical
T300205,2023-02-09,2023-02-10 12:16:28.377139907,Low,Resolved,Agent_9,36.27,1,Logistics
T300206,2023-09-16,2023-09-16 01:25:28.635165583,Critical,Closed,Agent_10,1.42,1,Billing
T300207,2025-02-25,2025-02-25 08:02:01.961450120,High,Closed,Agent_18,8.03,1,Technical
T300208,2023-08-06,2023-08-06 07:06:55.876548274,High,Escalated,Agent_19,7.12,1,Logistics
T300209,2024-09-28,2024-09-28 14:21:34.800202218,Low,Resolved,Agent_2,14.36,1,Billing
T300210,2023-10-22,2023-10-22 14:11:09.845664685,Medium,Resolved,Agent_14,14.19,1,Technical
T300211,2025-04-13,2025-04-13 05:27:41.712688066,Medium,Closed,Agent_10,5.46,1,Other
T300212,2025-03-18,2025-03-20 11:27:18.891218311,Low,Resolved,Agent_5,59.46,1,Logistics
T300213,2024-01-04,2024-01-08 18:56:16.064161231,Low,Escalated,Agent_5,114.94,0,Logistics
T300214,2025-09-28,2025-09-28 01:00:00.000000000,Medium,Resolved,Agent_2,1.0,1,HR
T300215,2023-12-30,2023-12-31 15:00:01.454119793,Low,Resolved,Agent_13,39.0,1,Billing
T300216,2024-01-03,2024-01-03 07:54:27.946782413,Critical,Resolved,Agent_7,7.91,0,Billing
T300217,2024-01-29,2024-01-31 09:03:15.555853929,Medium,Resolved,Agent_15,57.05,0,Billing
T300218,2024-04-02,2024-04-02 10:39:06.260720044,Medium,Closed,Agent_15,10.65,1,Technical
T300219,2023-05-29,2023-05-31 09:02:34.624305050,Medium,Resolved,Agent_6,57.04,0,Technical
T300220,2024-06-13,2024-06-13 20:57:12.908973886,High,Resolved,Agent_7,20.95,1,Billing
T300221,2025-04-12,2025-04-12 17:52:38.706457679,Medium,Resolved,Agent_4,17.88,1,Billing
T300222,2025-03-16,2025-03-16 07:07:39.293232040,Medium,Resolved,Agent_4,7.13,1,HR
T300223,2024-01-18,2024-01-20 02:46:45.400246918,Low,Resolved,Agent_1,50.78,1,Technical
T300224,2023-04-25,2023-04-25 07:14:40.707846048,Medium,Closed,Agent_11,7.24,1,Other
T300225,2024-11-30,2024-11-30 20:35:32.922014302,Low,Resolved,Agent_5,20.59,1,Technical
T300226,2023-06-05,2023-06-05 15:06:04.052946030,Medium,Resolved,Agent_2,15.1,1,Logistics
T300227,2025-03-12,2025-03-13 09:04:37.642661801,Low,Resolved,Agent_5,33.08,1,HR
T300228,2024-06-26,2024-06-26 05:01:55.365288381,Medium,Resolved,Agent_5,5.03,1,HR
T300229,2025-01-28,2025-01-29 04:24:16.492187010,Medium,Resolved,Agent_20,28.4,1,Technical
T300230,2025-09-27,2025-10-01 19:37:45.527981516,Medium,Closed,Agent_13,115.63,0,Billing
T300231,2023-12-29,2023-12-29 13:25:04.948435365,Low,Resolved,Agent_12,13.42,1,Technical
T300232,2025-03-30,2025-03-30 19:24:27.143659236,Medium,Open,Agent_10,19.41,1,Logistics
T300233,2025-06-22,2025-06-22 07:16:38.541369482,High,Resolved,Agent_13,7.28,1,Technical
T300234,2025-04-26,2025-04-26 17:39:24.453539927,Low,Closed,Agent_9,17.66,1,Technical
T300235,2024-06-01,2024-06-02 02:07:43.396763067,Low,Resolved,Agent_5,26.13,1,Billing
T300236,2023-05-04,2023-05-06 15:20:04.015461706,Low,Escalated,Agent_6,63.33,1,Technical
T300237,2023-08-02,2023-08-03 01:42:48.671581162,Low,Resolved,Agent_17,25.71,1,Technical
T300238,2024-06-24,2024-06-24 08:28:52.215823381,High,Resolved,Agent_5,8.48,1,HR
T300239,2024-10-19,2024-10-19 15:34:01.770376790,Medium,Closed,Agent_11,15.57,1,Logistics
T300240,2024-04-13,2024-04-14 14:53:22.303328982,Low,Closed,Agent_6,38.89,1,Technical
T300241,2025-08-09,2025-08-09 04:07:48.168357039,High,Resolved,Agent_9,4.13,1,Logistics
T300242,2024-11-25,2024-11-26 10:12:41.767595084,Low,Resolved,Agent_12,34.21,1,Billing
T300243,2022-11-07,2022-11-07 06:57:08.743663082,Low,Escalated,Agent_4,6.95,1,Logistics
T300244,2023-05-07,2023-05-08 08:27:28.380690850,Medium,Closed,Agent_18,32.46,1,Billing
T300245,2024-03-13,2024-03-13 05:38:36.626446659,Low,Resolved,Agent_15,5.64,1,Logistics
T300246,2023-01-02,2023-01-05 01:46:21.090947947,Low,Resolved,Agent_4,73.77,0,Technical
T300247,2024-01-15,2024-01-18 11:48:39.701871353,Low,Resolved,Agent_14,83.81,0,Technical
T300248,2024-06-09,2024-06-09 01:00:00.000000000,Medium,Resolved,Agent_18,1.0,1,Technical
T300249,2023-11-14,2023-11-17 13:17:29.208330601,Low,Resolved,Agent_17,85.29,0,Billing
T300250,2023-08-22,2023-08-24 02:08:27.665454451,Low,Open,Agent_2,50.14,1,Technical
T300251,2024-01-14,2024-01-14 02:26:46.967402361,Medium,Closed,Agent_19,2.45,1,Other
T300252,2023-11-29,2023-12-05 04:12:48.825765478,Medium,Resolved,Agent_14,148.21,0,Technical
T300253,2024-11-06,2024-11-06 22:56:14.653494269,Medium,Resolved,Agent_4,22.94,1,Technical
T300254,2025-03-23,2025-03-24 00:35:17.771855810,Low,Resolved,Agent_2,24.59,1,Logistics
T300255,2024-10-04,2024-10-08 07:54:18.367116828,Low,Resolved,Agent_13,103.91,0,Technical
T300256,2023-02-07,2023-02-07 02:02:26.447922479,Low,Resolved,Agent_7,2.04,1,Technical
T300257,2025-04-01,2025-04-02 06:19:28.184866240,Medium,Resolved,Agent_8,30.32,1,Billing
T300258,2023-12-17,2023-12-17 03:43:26.252610910,Medium,Resolved,Agent_10,3.72,1,Logistics
T300259,2023-12-19,2023-12-19 19:17:52.470781461,Medium,Resolved,Agent_3,19.3,1,Logistics
T300260,2023-09-10,2023-09-10 02:25:14.447253545,Medium,Escalated,Agent_4,2.42,1,Other
T300261,2023-09-22,2023-09-24 06:33:53.561058832,Low,Resolved,Agent_6,54.56,1,Billing
T300262,2025-10-21,2025-10-21 15:00:30.648922222,Medium,Escalated,Agent_20,15.01,1,Billing
T300263,2023-03-09,2023-03-09 01:00:00.000000000,Low,Resolved,Agent_7,1.0,1,HR
T300264,2023-12-28,2023-12-28 03:33:20.189730735,Low,Closed,Agent_7,3.56,1,Logistics
T300265,2024-08-12,2024-08-13 05:08:22.958555235,Medium,Resolved,Agent_17,29.14,1,Other
T300266,2023-06-18,2023-06-19 00:28:34.586071891,Low,Resolved,Agent_6,24.48,1,Technical
T300267,2024-09-07,2024-09-09 05:31:47.926467464,Low,Closed,Agent_19,53.53,1,Technical
